Statistical profiling result from infoConsoleProf.log, (14175 ticks, 26 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
     51    0.4%    2.8%  _IO_fwrite
     50    0.4%    2.7%  __libc_malloc
     40    0.3%    2.2%  syscall
     40    0.3%    2.2%  epoll_pwait
     24    0.2%    1.3%  __pthread_cond_wait
     19    0.1%    1.0%  std::basic_ostream<char, std::char_traits<char> >& std::__ostream_insert<char, std::char_traits<char> >(std::basic_ostream<char, std::char_traits<char> >&, char const*, long)
     16    0.1%    0.9%  __mprotect
     14    0.1%    0.8%  __libc_read
     13    0.1%    0.7%  __libc_free
     11    0.1%    0.6%  __GI___pthread_mutex_lock
     10    0.1%    0.5%  operator new(unsigned long)
     10    0.1%    0.5%  _IO_file_xsputn
      8    0.1%    0.4%  std::ostream::sentry::sentry(std::ostream&)
      6    0.0%    0.3%  std::__detail::_Prime_rehash_policy::_M_next_bkt(unsigned long) const
      6    0.0%    0.3%  operator delete(void*)
      5    0.0%    0.3%  __libc_open
      5    0.0%    0.3%  __errno_location
      4    0.0%    0.2%  accept4
      4    0.0%    0.2%  __lll_lock_wait
      4    0.0%    0.2%  __clock_gettime
      3    0.0%    0.2%  std::_Rb_tree_insert_and_rebalance(bool, std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::_Rb_tree_node_base&)
      2    0.0%    0.1%  std::ostream& std::ostream::_M_insert<long>(long)
      2    0.0%    0.1%  shutdown
      2    0.0%    0.1%  operator delete[](void*)
      2    0.0%    0.1%  fputc
      2    0.0%    0.1%  epoll_ctl
      2    0.0%    0.1%  __mmap
      2    0.0%    0.1%  __GI___pthread_rwlock_unlock
      2    0.0%    0.1%  _IO_default_xsputn
      1    0.0%    0.1%  std::string::_Rep::_S_create(unsigned long, unsigned long, std::allocator<char> const&)
      1    0.0%    0.1%  std::ostreambuf_iterator<char, std::char_traits<char> > std::num_put<char, std::ostreambuf_iterator<char, std::char_traits<char> > >::_M_insert_int<long>(std::ostreambuf_iterator<char, std::char_traits<char> >, std::ios_base&, char, long) const
      1    0.0%    0.1%  std::ostream::put(char)
      1    0.0%    0.1%  std::ostream::flush()
      1    0.0%    0.1%  std::ostream& std::ostream::_M_insert<unsigned long>(unsigned long)
      1    0.0%    0.1%  std::basic_string<char, std::char_traits<char>, std::allocator<char> >::basic_string(std::string const&)
      1    0.0%    0.1%  std::basic_string<char, std::char_traits<char>, std::allocator<char> >::basic_string(char const*, std::allocator<char> const&)
      1    0.0%    0.1%  std::__detail::_List_node_base::_M_hook(std::__detail::_List_node_base*)
      1    0.0%    0.1%  operator new[](unsigned long)
