Statistical profiling result from infoProf.log, (12031 ticks, 35 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.0%    0.1%  LazyCompile: *accept /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/handlebars/dist/cjs/handlebars/compiler/visitor.js:57:26
      1    0.0%    0.1%  LazyCompile: *SubExpression /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/handlebars/dist/cjs/handlebars/compiler/compiler.js:236:40
      1    0.0%    0.1%  LazyCompile: *SourceLocation /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/handlebars/dist/cjs/handlebars/compiler/helpers.js:32:24
      1    0.0%    0.1%  LazyCompile: *RES /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/inflight/inflight.js:18:28
      1    0.0%    0.1%  LazyCompile: *Module._load node:internal/modules/cjs/loader:757:24
      1    0.0%    0.1%  LazyCompile: *Module._compile node:internal/modules/cjs/loader:1055:37
      1    0.0%    0.1%  LazyCompile: *ContentStatement /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/handlebars/dist/cjs/handlebars/compiler/compiler.js:228:46
      1    0.0%    0.1%  LazyCompile: *<anonymous> /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:274:31

 [C++]:
   ticks  total  nonlib   name
    492    4.1%   28.1%  __pthread_cond_signal
    109    0.9%    6.2%  __GI___pthread_mutex_unlock
     81    0.7%    4.6%  __write
     47    0.4%    2.7%  _IO_fwrite
     39    0.3%    2.2%  __libc_malloc
     36    0.3%    2.1%  syscall
     25    0.2%    1.4%  __pthread_cond_wait
     23    0.2%    1.3%  epoll_pwait
     23    0.2%    1.3%  __libc_read
     20    0.2%    1.1%  __libc_free
     19    0.2%    1.1%  std::basic_ostream<char, std::char_traits<char> >& std::__ostream_insert<char, std::char_traits<char> >(std::basic_ostream<char, std::char_traits<char> >&, char const*, long)
     12    0.1%    0.7%  operator new(unsigned long)
     11    0.1%    0.6%  _IO_file_xsputn
      9    0.1%    0.5%  __lll_lock_wait
      8    0.1%    0.5%  __GI___pthread_mutex_lock
      7    0.1%    0.4%  std::ostream::sentry::sentry(std::ostream&)
      4    0.0%    0.2%  std::_Rb_tree_insert_and_rebalance(bool, std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::_Rb_tree_node_base&)
      4    0.0%    0.2%  __mprotect
      4    0.0%    0.2%  __libc_open
      4    0.0%    0.2%  _IO_default_xsputn
      3    0.0%    0.2%  shutdown
      3    0.0%    0.2%  operator new[](unsigned long)
      3    0.0%    0.2%  operator delete(void*)
      3    0.0%    0.2%  __mmap
      3    0.0%    0.2%  __errno_location
      2    0.0%    0.1%  std::__detail::_Prime_rehash_policy::_M_need_rehash(unsigned long, unsigned long, unsigned long) const
      2    0.0%    0.1%  accept4
      2    0.0%    0.1%  __libc_write
      2    0.0%    0.1%  __fmod_finite
      2    0.0%    0.1%  __clock_gettime
      2    0.0%    0.1%  _IO_fflush
      1    0.0%    0.1%  std::ostreambuf_iterator<char, std::char_traits<char> > std::num_put<char, std::ostreambuf_iterator<char, std::char_traits<char> > >::_M_insert_int<long>(std::ostreambuf_iterator<char, std::char_traits<char> >, std::ios_base&, char, long) const
      1    0.0%    0.1%  std::ostream::flush()
      1    0.0%    0.1%  std::num_put<char, std::ostreambuf_iterator<char, std::char_traits<char> > >::do_put(std::ostreambuf_iterator<char, std::char_traits<char> >, std::ios_base&, char, long) const
      1    0.0%    0.1%  std::__detail::_Prime_rehash_policy::_M_next_bkt(unsigned long) const
      1    0.0%    0.1%  epoll_ctl
      1    0.0%    0.1%  char* std::string::_S_construct<char const*>(char const*, char const*, std::allocator<char> const&, std::forward_iterator_tag)
      1    0.0%    0.1%  brk
      1    0.0%    0.1%  __pthread_condattr_init
      1    0.0%    0.1%  __GI___pthread_rwlock_wrlock
      1    0.0%    0.1%  __GI___pthread_rwlock_unlock
      1    0.0%    0.1%  __GI___pthread_rwlock_rdlock
      1    0.0%    0.1%  __GI___pthread_once
      1    0.0%    0.1%  _IO_file_write

 [Summary]:
   ticks  total  nonlib   name
    700    5.8%   40.0%  JavaScript
   1017    8.5%   58.0%  C++
    321    2.7%   18.3%  GC
  10279   85.4%          Shared libraries
     35    0.3%          Unaccounted

 [C++ entry points]:
   ticks    cpp   total   name
    476   54.7%    4.0%  __pthread_cond_signal
    103   11.8%    0.9%  __GI___pthread_mutex_unlock
     68    7.8%    0.6%  __write
     44    5.1%    0.4%  _IO_fwrite
     36    4.1%    0.3%  syscall
     35    4.0%    0.3%  __libc_malloc
     19    2.2%    0.2%  std::basic_ostream<char, std::char_traits<char> >& std::__ostream_insert<char, std::char_traits<char> >(std::basic_ostream<char, std::char_traits<char> >&, char const*, long)
     11    1.3%    0.1%  __libc_free
     11    1.3%    0.1%  _IO_file_xsputn
      8    0.9%    0.1%  operator new(unsigned long)
      8    0.9%    0.1%  __GI___pthread_mutex_lock
      7    0.8%    0.1%  std::ostream::sentry::sentry(std::ostream&)
      7    0.8%    0.1%  __lll_lock_wait
      4    0.5%    0.0%  std::_Rb_tree_insert_and_rebalance(bool, std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::_Rb_tree_node_base&)
      4    0.5%    0.0%  __libc_open
      3    0.3%    0.0%  operator new[](unsigned long)
      3    0.3%    0.0%  operator delete(void*)
      2    0.2%    0.0%  std::__detail::_Prime_rehash_policy::_M_need_rehash(unsigned long, unsigned long, unsigned long) const
      2    0.2%    0.0%  __mprotect
      2    0.2%    0.0%  __libc_write
      2    0.2%    0.0%  __fmod_finite
      2    0.2%    0.0%  _IO_fflush
      2    0.2%    0.0%  _IO_default_xsputn
      1    0.1%    0.0%  std::ostreambuf_iterator<char, std::char_traits<char> > std::num_put<char, std::ostreambuf_iterator<char, std::char_traits<char> > >::_M_insert_int<long>(std::ostreambuf_iterator<char, std::char_traits<char> >, std::ios_base&, char, long) const
      1    0.1%    0.0%  std::ostream::flush()
      1    0.1%    0.0%  std::num_put<char, std::ostreambuf_iterator<char, std::char_traits<char> > >::do_put(std::ostreambuf_iterator<char, std::char_traits<char> >, std::ios_base&, char, long) const
      1    0.1%    0.0%  std::__detail::_Prime_rehash_policy::_M_next_bkt(unsigned long) const
      1    0.1%    0.0%  char* std::string::_S_construct<char const*>(char const*, char const*, std::allocator<char> const&, std::forward_iterator_tag)
      1    0.1%    0.0%  __clock_gettime
      1    0.1%    0.0%  __GI___pthread_rwlock_wrlock
      1    0.1%    0.0%  __GI___pthread_rwlock_unlock
      1    0.1%    0.0%  __GI___pthread_rwlock_rdlock
      1    0.1%    0.0%  __GI___pthread_once
      1    0.1%    0.0%  _IO_file_write

 [Bottom up (heavy) profile]:
  Note: percentage shows a share of a particular caller in the total
  amount of its parent calls.
  Callers occupying less than 1.0% are not shown.

   ticks parent  name
  10081   83.8%  /home/develop/.nvm/versions/node/v16.6.0/bin/node
   5619   55.7%    /home/develop/.nvm/versions/node/v16.6.0/bin/node
    879   15.6%      LazyCompile: ~compileFunction node:vm:308:25
    814   92.6%        LazyCompile: ~wrapSafe node:internal/modules/cjs/loader:1017:18
    814  100.0%          LazyCompile: ~Module._compile node:internal/modules/cjs/loader:1055:37
    814  100.0%            LazyCompile: ~Module._extensions..js node:internal/modules/cjs/loader:1110:37
     65    7.4%        LazyCompile: *Module._compile node:internal/modules/cjs/loader:1055:37
     65  100.0%          LazyCompile: ~Module._extensions..js node:internal/modules/cjs/loader:1110:37
     65  100.0%            LazyCompile: *Module._load node:internal/modules/cjs/loader:757:24
    363    6.5%      LazyCompile: ~close node:internal/fs/read_file_context:111:8
    363  100.0%        LazyCompile: ~readFileAfterRead node:internal/fs/read_file_context:25:27
    309    5.5%      LazyCompile: ~memoryUsage node:internal/process/per_thread:165:23
    309  100.0%        LazyCompile: ~<anonymous> /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/src/server.js:206:35
    309  100.0%          LazyCompile: ~handle /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/express/lib/router/layer.js:86:49
    309  100.0%            LazyCompile: ~next /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/express/lib/router/route.js:114:16
    233    4.1%      /home/develop/.nvm/versions/node/v16.6.0/bin/node
     21    9.0%        LazyCompile: *Glob._process /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/glob/glob.js:296:36
     11   52.4%          LazyCompile: *Glob._processGlobStar2 /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/glob/glob.js:629:45
     11  100.0%            LazyCompile: ~<anonymous> /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/glob/glob.js:623:43
     10   47.6%          LazyCompile: ~Glob._processGlobStar2 /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/glob/glob.js:629:45
     10  100.0%            LazyCompile: ~<anonymous> /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/glob/glob.js:623:43
     15    6.4%        LazyCompile: ~escapeExpression /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/handlebars/dist/cjs/handlebars/utils.js:77:26
     15  100.0%          Function: ~<anonymous> :1:20
     15  100.0%            LazyCompile: ~main /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/handlebars/dist/cjs/handlebars/runtime.js:207:18
     15    6.4%        /home/develop/.nvm/versions/node/v16.6.0/bin/node
      7   46.7%          LazyCompile: *Glob._process /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/glob/glob.js:296:36
      5   71.4%            LazyCompile: *Glob._processGlobStar2 /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/glob/glob.js:629:45
      2   28.6%            LazyCompile: ~Glob._processGlobStar2 /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/glob/glob.js:629:45
      3   20.0%          LazyCompile: ~Glob._process /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/glob/glob.js:296:36
      3  100.0%            LazyCompile: ~Glob._processGlobStar2 /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/glob/glob.js:629:45
      2   13.3%          LazyCompile: ~set /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/express-session/session/memory.js:119:41
      2  100.0%            LazyCompile: ~save /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/express-session/session/session.js:71:54
      2   13.3%          LazyCompile: ~Glob._processReaddir2 /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/glob/glob.js:373:44
      2  100.0%            LazyCompile: ~<anonymous> /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/glob/glob.js:368:43
      1    6.7%          LazyCompile: *Glob._processReaddir2 /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/glob/glob.js:373:44
      1  100.0%            LazyCompile: ~<anonymous> /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/glob/glob.js:368:43
     11    4.7%        LazyCompile: ~readPackage node:internal/modules/cjs/loader:290:21
     10   90.9%          LazyCompile: ~readPackageScope node:internal/modules/cjs/loader:321:26
      9   90.0%            LazyCompile: ~trySelf node:internal/modules/cjs/loader:441:17
      1   10.0%            LazyCompile: ~Module._extensions..js node:internal/modules/cjs/loader:1110:37
      1    9.1%          LazyCompile: ~resolveExports node:internal/modules/cjs/loader:472:24
      1  100.0%            LazyCompile: ~Module._findPath node:internal/modules/cjs/loader:494:28
     11    4.7%        LazyCompile: ~asString /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/date-format/lib/index.js:33:18
     11  100.0%          LazyCompile: ~timestampLevelAndCategory /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/log4js/lib/layouts.js:40:35
     11  100.0%            LazyCompile: ~colouredLayout /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/log4js/lib/layouts.js:69:24
      8    3.4%        LazyCompile: ~header /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/express/lib/response.js:754:29
